StepNumber,BaseRotation,ShoulderPitch,ShoulderRoll,ElbowPitch,ElbowRoll,HandPitch,GripperRotation,EndEffectorX,EndEffectorY,EndEffectorZ,TargetX,TargetY,TargetZ,DistanceToTarget,DeltaBaseRotation,DeltaShoulderPitch,DeltaShoulderRoll,DeltaElbowPitch,DeltaElbowRoll,DeltaHandPitch,DeltaGripperRotation,DeltaX,DeltaY,DeltaY.1,Gripped,IsGood,BaseRight,BaseLeft,ShoulderDown,ShoulderUp,ElbowDown,ElbowUp,HandDown,HandUp
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,5.0,0.0,-126.0,0.0,126.0,48.0,-0.00013641,0.515677,0.036157995,0.0,0.5,0.0,0.03941049,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.00013641,0.515677,0.036157995,False,True,0,0,1,0,0,0,0,0
2,0.0,10.0,0.0,-126.0,0.0,126.0,48.0,-8.479129999999999e-05,0.5048090000000001,-0.007821992,0.0,0.5,0.0,0.009182451999999999,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.16187e-05,-0.010867953,-0.043979988,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-126.0,0.0,121.0,48.0,-0.000163387,0.504255,0.07489601,0.0,0.5,0.0,0.07501696,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-0.000163387,0.504255,0.07489601,False,True,0,0,0,0,0,0,0,1
2,0.0,5.0,0.0,-126.0,0.0,121.0,48.0,-2.6978600000000003e-05,0.496483,0.031398,0.0,0.5,0.0,0.031594372999999995,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0001364084,-0.0077719986,-0.04349801,False,True,0,0,1,0,0,0,0,0
3,0.0,10.0,0.0,-126.0,0.0,121.0,48.0,2.21621e-05,0.485342,-0.010814995,0.0,0.5,0.0,0.018215973,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.9140697e-05,-0.011141001999999999,-0.042212993,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-126.0,0.0,121.0,48.0,-3.51126e-05,0.504347,0.07505101,0.0,0.5,0.0,0.075176805,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-3.51126e-05,0.504347,0.07505101,False,True,0,0,0,0,0,0,0,1
2,0.0,5.0,0.0,-126.0,0.0,121.0,48.0,3.17788e-05,0.496384,0.031366006,0.0,0.5,0.0,0.03157377,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.689140000000001e-05,-0.0079630315,-0.043685004000000006,False,True,0,0,1,0,0,0,0,0
3,0.0,10.0,0.0,-126.0,0.0,121.0,48.0,2.7769899999999996e-05,0.48560299999999995,-0.010282993,0.0,0.5,0.0,0.017692206000000002,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-4.0089e-06,-0.01078099,-0.041649,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,5.0,0.0,-126.0,0.0,126.0,48.0,-6.78782e-05,0.515658,0.036211,0.0,0.5,0.0,0.03945142,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-6.78782e-05,0.515658,0.036211,False,True,0,0,1,0,0,0,0,0
2,0.0,10.0,0.0,-126.0,0.0,126.0,48.0,-0.000152763,0.504618,-0.007961005,0.0,0.5,0.0,0.009204714000000001,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-8.488479e-05,-0.011040032,-0.044172004,False,True,0,0,1,0,0,0,0,0
